"FIPS","State_county","over_65","% Persons age <18 ACS 2018-2022","% <9th grade education ACS 2018-2022","% < High school education ACS 2018-2022","% At least bachelors degree ACS 2018-2022","% Families below poverty ACS 2018-2022","% Persons below poverty ACS 2018-2022","% Persons <150% of poverty ACS 2018-2022","% Persons <200% of poverty ACS 2018-2022","% Unemployed ACS 2018-2022","med_inc","Median household income (in tens) ACS 2018-2022","% Households with >1 person/room ACS 2018-2022","% Foreign born ACS 2018-2022","% Language isolation ACS 2018-2022 (households)","% In same house past year, no migration ACS 2018-2022 (ages 5+)","% Moved past year, same county ACS 2018-2022 (ages 5+)","% Moved past year, diff county, same state ACS 2018-2022 (ages 5+)","% Moved past year, different state ACS 2018-2022 (ages 5+)","% Moved past year from outside US ACS 2018-2022 (ages 5+)","% In same house past year, no migration ACS 2018-2022 (ages 1+)","% Moved past year, same county ACS 2018-2022 (ages 1+)","% Moved past year, diff county, same state ACS 2018-2022 (ages 1+)","% Moved past year, different state ACS 2018-2022 (ages 1+)","% Moved past year from outside US ACS 2018-2022 (ages 1+)","% Urban 2010","% Current Smoker (age 18+ - sae 2014-2016)","% Former Smoker (age 18+ - sae 2014-2016)","% Long term former smoker quitting > 1 year (age 18+ - sae 2014-2016)","% Mammography within 2 years (age 40+ - sae 2011-2016)","% Mammography within 2 years (age 50-74 - sae 2011-2016)","% Long term former smoker quitting > 1 year (age 18+ - sae 2011-2013)","% Ever Smoker (age 18+ - sae 2008-2010)","% Endoscopy Ever (age 50+ - sae 2008-2010)","Normalized cost-of-living index 2004","PRCDA Region","fips1","FIPS2","County","2023 Rural-Urban Continuum Codes([rural urban note])","Met Healthy People Objective of 122.7?","Age-Adjusted Death Rate([rate note]) - deaths per 100,000","Lower CI (Rate)","Upper CI (Rate)","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)","Average Annual Count","Recent Trend","Recent 5-Year Trend ([trend note]) in Death Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval","Rate","over65perc","med_inc_full","pov_rate"
1001,"AL: Autauga County (01001)",1562,"02343","00173","00960","02956","00832",1137,"02021","02873","00277",8379,"06832","00138","00264","00035","09006","00398","00298","00228","00070","09011","00393","00308","00222","00067","05800","01766","02165","01936","06537","07132","01899","04153","05799","0886","East","01001","01001","Autauga County, Alabama","Urban","No",151.6,139,165,"N/A","26","66",110,"falling","-1.8","-2.4","-1.2",151.6,15.62,83790,11.37
1003,"AL: Baldwin County (01003)",2121,"02116","00201","00840","03256","00704",1021,"01834","02720","00344",8995,"07104","00198","00347","00089","08692","00668","00206","00407","00028","08685","00681","00207","00399","00029","05772","01620","02562","02452","06594","07363","02191","04382","06327","0903","East","01003","01003","Baldwin County, Alabama","Urban","No",145.9,140.1,151.9,"N/A","51","65",511,"falling","-4.9","-7.1","-1.9",145.9,21.21,89950,10.21
1005,"AL: Barbour County (01005)",1980,"02071","00729","02351","01188","02085",2416,"03775","04971","00575",5567,"03971","00383","00312","00251","08576","00689","00562","00154","00020","08505","00774","00544","00155","00022","03221","01604","02396","02174","06328","06860","01843","05038","04978","0836","East","01005","01005","Barbour County, Alabama","Rural","No",180.6,161.2,202.1,"N/A","1","58",65,"falling","-1.1","-1.8","-0.4",180.6,19.8,55670,24.16
1007,"AL: Bibb County (01007)",1678,"02119","00639","02114","01092","01630",2062,"02902","04251","00871",7006,"05067","00130","00110","00017","08707","00397","00787","00109","00000","08659","00468","00756","00116","00000","03165","01963","02234","02162","07049","07625","01703","05328","05163","0836","East","01007","01007","Bibb County, Alabama","Urban","No",170.1,149.2,193.2,"N/A","2","63",49,"falling","-1.1","-1.6","-0.5",170.1,16.78,70060,20.62
1009,"AL: Blount County (01009)",1827,"02296","00712","01824","01474","01018",1417,"02286","03394","00597",7353,"05744","00236","00481","00161","08854","00704","00342","00098","00003","08848","00700","00357","00093","00003","01005","02519","01802","01783","06570","07505","02068","04981","04468","0919","East","01009","01009","Blount County, Alabama","Urban","No",169.9,157.2,183.4,"N/A","7","58",138,"falling","-1","-1.4","-0.5",169.9,18.27,73530,14.17
1011,"AL: Bullock County (01011)",1660,"02106","00992","02662","00938","02206",2794,"04741","05737","00370",4375,"03614","00084","00377","00093","08605","01104","00178","00066","00047","08652","01056","00177","00070","00045","04863","01781","02192","02038","06629","07469","01435","04445","03768","0836","East","01011","01011","Bullock County, Alabama","Rural","No",138.2,111,170.5,"N/A","10","67",19,"falling","-9.7","-22.2","-1.6",138.2,16.6,43750,27.94
1013,"AL: Butler County (01013)",2118,"02231","00387","01241","01305","01749",2111,"03377","04336","00681",5922,"04443","00059","00170","00034","09504","00157","00194","00118","00028","09503","00157","00195","00118","00027","02877","02217","02294","02245","06515","07238","01811","05191","04427","0836","East","01013","01013","Butler County, Alabama","Rural","No",168.8,147.1,193,"N/A","2","64",47,"falling","-0.8","-1.4","-0.1",168.8,21.18,59220,21.11
1015,"AL: Calhoun County (01015)",1790,"02118","00443","01493","01915","01287",1804,"02870","03894","00695",6896,"05434","00172","00232","00122","08619","00818","00276","00256","00030","08628","00818","00270","00255","00029","06630","02373","02281","02088","06469","06964","01978","04629","05760","0840","East","01015","01015","Calhoun County, Alabama","Urban","No",175.8,166.3,185.8,"N/A","6","47",269,"falling","-1.5","-4.1","-1.2",175.8,17.9,68960,18.04
1017,"AL: Chambers County (01017)",1973,"02078","00576","01654","01273","01382",1788,"02875","04417","00358",6000,"04881","00533","00147","00051","09167","00436","00184","00195","00018","09196","00417","00175","00195","00017","05085","02393","02441","02240","06577","07097","02104","04723","05527","0836","East","01017","01017","Chambers County, Alabama","Rural","No",165.3,149.5,182.5,"N/A","6","63",85,"falling","-2.4","-6.3","-1.3",165.3,19.73,60000,17.88
1019,"AL: Cherokee County (01019)",2324,"01885","00661","01807","01459","01229",1426,"02564","03884","00397",6343,"04662","00072","00197","00167","08950","00404","00326","00316","00005","08935","00419","00324","00317","00004","01426","02340","02282","02057","06744","07374","02059","05395","05209","0836","East","01019","01019","Cherokee County, Alabama","Rural","No",178.8,160.4,199.2,"N/A","1","58",74,"stable","-0.4","-1","0.2",178.8,23.24,63430,14.26
1021,"AL: Chilton County (01021)",1685,"02372","00591","01784","01397","01120",1445,"02278","03532","00530",7209,"06247","00259","00407","00190","09276","00450","00238","00030","00006","09240","00483","00237","00035","00005","01326","01977","02378","02375","06426","07229","02174","05225","05055","0836","East","01021","01021","Chilton County, Alabama","Urban","No",171.9,156.8,188.1,"N/A","4","57",100,"falling","-0.7","-1.2","-0.2",171.9,16.85,72090,14.45
1023,"AL: Choctaw County (01023)",2329,"01994","00641","01761","01305","01577",1914,"03192","03903","00521",6435,"04330","00061","00044","00000","09484","00166","00110","00217","00023","09485","00166","00109","00217","00024","00000","02337","02278","02163","06179","06233","01708","03926","05335","0836","East","01023","01023","Choctaw County, Alabama","Rural","No",152.6,129.9,178.9,"N/A","7","67",34,"falling","-1.7","-2.4","-1",152.6,23.29,64350,19.14
